frame_index,left_gripper_diff,right_gripper_diff
377,0.0,0.0
378,0.0,0.0
379,0.0,0.0
380,0.0,0.0
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,0.0
388,0.0,0.0
389,0.0,0.0
390,0.0,0.0
391,0.0,0.0
392,0.0,0.0
393,0.0,0.0
394,0.0,0.0
395,0.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,0.0
399,0.0,0.0
400,0.0,0.0
401,0.0,0.0
402,0.0,0.0
403,0.0,0.0
404,0.0,0.0
405,0.0,0.0
406,0.0,0.0
407,0.0,0.0
408,0.0,0.0
409,0.0,0.0
410,0.0,0.0
411,0.0,0.0
412,0.0,0.0
413,0.0,0.0
414,0.0,0.0
415,0.0,0.0
416,0.0,0.0
417,0.0,0.0
418,0.0,0.0
419,0.0,0.0
420,0.0,0.0
421,0.0,0.0
422,0.0,0.0
423,0.0,0.0
424,0.0,0.0
425,0.0,0.0
426,0.0,0.0
427,0.0,0.0
428,0.0,0.0
429,0.0,0.0
430,0.0,0.0
431,0.0,0.0
432,0.0,0.0
433,0.0,0.0
434,0.0,0.0
435,0.0,0.0
436,0.0,0.0
437,0.0,0.0
438,0.0,0.0
439,0.0,0.0
440,0.0,0.0
441,0.0,0.0
442,0.0,0.0
443,0.0,0.0
444,0.0,0.0
445,0.0,0.0
446,0.0,0.0
447,0.0,0.0
448,0.0,0.0
449,0.0,0.0
450,0.0,0.0
451,0.0,0.0
452,0.0,0.0
453,0.43466666,0.21733333
454,0.21733333,0.21733333
455,0.21733333,0.21733333
456,0.21733333,0.21733333
457,0.21733333,0.21733333
458,0.21733333,0.21733333
459,0.21733333,0.21733333
460,0.21733333,0.21733333
461,0.21733333,0.21733333
462,0.21733333,0.21733333
463,0.21733333,0.21733333
464,0.21733333,0.21733333
465,0.21733333,0.21733333
466,0.21733333,0.21733333
467,0.21733333,0.21733333
468,0.21733333,0.21733333
469,0.21733333,0.21733333
470,0.21733333,0.21733333
471,0.21733333,0.21733333
472,0.21733333,0.21733333
473,0.21733333,0.21733333
474,0.21733333,0.21733333
475,0.21733333,0.21733333
476,0.21733333,0.21733333
477,0.21733333,0.21733333
478,0.21733333,0.21733333
479,0.21733333,0.21733333
480,0.21733333,0.21733333
481,0.21733333,0.21733333
482,-0.03266667,0.21733333
483,-0.36266667,0.21733333
484,-0.13066667,0.21733333
485,0.73866665,0.21733333
486,3.0118752,0.21733333
487,5.518125,0.21733333
488,8.50125,0.21733333
489,12.535,0.21733333
490,17.420626,0.21733333
491,25.245,0.21733333
492,32.50625,0.0
493,38.95,0.21733333
494,46.0575,0.21733333
495,53.37,0.21733333
496,65.1575,0.21733333
497,73.3375,0.21733333
498,86.0,0.21733333
499,95.68667,0.0
500,105.003334,0.21733333
501,115.3325,0.21733333
502,117.4138,0.0
503,118.295,0.21733333
504,118.6475,0.21733333
505,118.6475,0.21733333
506,118.6475,0.21733333
507,118.6475,0.21733333
508,118.6475,0.21733333
509,118.6475,0.0
510,118.6475,0.21733333
511,118.6475,0.21733333
512,118.6475,0.21733333
513,118.6475,0.21733333
514,118.6475,0.0
515,118.6475,0.21733333
516,118.6475,0.0
517,118.6475,0.0
518,118.6475,0.21733333
519,118.6475,0.21733333
520,118.6475,0.21733333
521,118.6475,0.21733333
522,118.6475,0.0
523,118.6475,0.0
524,118.6475,0.0
525,118.6475,0.21733333
526,118.6475,0.21733333
527,118.6475,0.0
528,118.6475,0.21733333
529,118.6475,0.0
530,118.6475,0.21733333
531,118.6475,0.21733333
532,118.6475,0.21733333
533,118.6475,0.21733333
534,118.6475,0.21733333
535,118.6475,0.21733333
536,118.6475,0.0
537,118.6475,0.0
538,118.6475,0.0
539,118.6475,0.21733333
540,118.6475,0.21733333
541,118.6475,0.21733333
542,118.6475,0.0
543,118.6475,0.0
544,118.6475,0.21733333
545,118.6475,0.21733333
546,118.6475,0.0
547,118.6475,0.21733333
548,118.6475,0.0
549,118.6475,0.0
550,118.6475,0.0
551,118.6475,0.21733333
552,118.6475,0.21733333
553,118.6475,0.0
554,118.6475,0.21733333
555,118.6475,0.0
556,118.6475,0.21733333
557,118.6475,0.21733333
558,118.6475,0.0
559,118.6475,0.0
560,118.6475,0.0
561,118.6475,0.0
562,118.6475,0.0
563,118.6475,0.0
564,118.6475,0.0
565,118.6475,0.0
566,118.6475,0.0
567,118.6475,0.21733333
568,118.6475,0.0
569,118.6475,0.21733333
570,118.6475,0.21733333
571,118.6475,0.0
572,118.6475,0.0
573,118.6475,0.21733333
574,118.6475,0.0
575,118.6475,0.0
576,118.6475,0.0
577,118.6475,0.21733333
578,118.6475,0.0
579,118.6475,0.0
580,118.6475,0.0
581,118.6475,0.0
582,118.6475,0.21733333
583,118.6475,0.0
584,118.6475,0.0
585,118.6475,0.0
586,118.6475,0.21733333
587,118.6475,0.0
588,119.1875,0.0
589,119.487495,0.21733333
590,119.311295,0.21733333
591,118.60629,0.0
592,117.5488,0.0
593,112.39666,0.0
594,101.72,0.21733333
595,92.6,0.0
596,82.99167,0.0
597,70.6075,0.21733333
598,63.37625,0.0
599,54.37,0.0
600,43.84,0.21733333
601,37.51875,0.0
602,31.378124,0.0
603,25.869375,0.21733333
604,20.173124,0.21733333
605,13.198125,0.0
606,9.278125,0.0
607,6.518125,0.0
608,3.26,0.0
609,1.304,0.0
610,0.43466666,0.21733333
611,0.21733333,0.0
612,0.21733333,0.0
613,0.21733333,0.21733333
614,0.21733333,0.0
615,0.21733333,0.21733333
616,0.21733333,0.21733333
617,0.21733333,0.0
618,0.21733333,0.0
619,0.21733333,0.0
620,0.21733333,0.21733333
621,0.21733333,0.21733333
622,0.21733333,0.0
623,0.21733333,0.21733333
624,0.21733333,0.0
625,0.21733333,0.21733333
626,0.21733333,0.0
627,0.21733333,0.0
628,0.21733333,0.0
629,0.21733333,0.21733333
630,0.21733333,0.0
631,0.21733333,0.0
632,0.21733333,0.0
633,0.21733333,0.0
634,0.21733333,0.21733333
635,0.21733333,0.0
636,0.21733333,0.21733333
637,0.21733333,0.21733333
638,0.21733333,0.0
639,0.21733333,0.0
640,0.21733333,0.0
641,0.21733333,0.0
642,0.21733333,0.0
643,0.21733333,0.21733333
644,0.21733333,0.0
645,0.21733333,0.0
646,0.21733333,0.21733333
647,0.21733333,0.21733333
648,0.21733333,0.0
649,0.0,0.0
650,0.0,0.0
651,0.0,0.0
652,0.0,0.0
653,0.0,0.0
654,0.0,0.0
655,0.0,0.0
656,0.0,0.0
657,0.0,0.0
658,0.0,0.0
659,0.0,0.0
660,0.0,0.0
661,0.0,0.0
662,0.0,0.0
663,0.0,0.0
664,0.0,0.0
665,0.0,0.0
666,0.0,0.0
667,0.0,0.0
668,0.0,0.0
669,0.0,0.0
670,0.0,0.0
671,0.0,0.0
672,0.0,0.0
673,0.0,0.0
674,0.0,0.0
675,0.0,0.0
676,0.0,0.0
677,0.0,0.0
678,0.0,0.0
679,0.0,0.0
680,0.0,0.0
681,0.0,0.0
682,0.0,0.0
683,0.0,0.0
684,0.0,0.0
685,0.0,0.0
686,0.0,0.0
687,0.0,0.0
688,0.0,0.0
689,0.0,0.0
690,0.0,0.0
691,0.0,0.0
692,0.0,0.0
693,0.0,0.0
694,0.0,0.0
695,0.0,0.0
696,0.0,0.0
697,0.0,0.0
698,0.0,0.0
699,0.0,0.0
700,0.0,0.0
701,0.0,0.0
702,0.0,0.0
703,0.0,0.0
704,0.0,0.0
705,0.0,0.0
706,0.0,0.0
707,0.0,0.0
708,0.0,0.0
709,0.0,0.0
710,0.0,0.0
711,0.0,0.0
712,0.0,0.0
713,0.0,0.0
714,0.0,0.0
715,0.0,0.0
716,0.0,0.0
717,0.0,0.0
718,0.0,0.0
719,0.0,0.0
720,0.0,0.0
721,0.0,0.0
722,0.0,0.0
723,0.0,0.0
724,0.0,0.0
725,0.0,0.0
726,0.0,0.0
727,0.0,0.0
728,0.0,0.0
729,0.0,0.0
730,0.0,0.0
731,0.0,0.0
732,0.0,0.0
733,0.0,0.0
734,0.0,0.0
735,0.0,0.0
736,0.0,0.0
737,0.0,0.0
738,0.0,0.0
739,0.0,0.0
740,0.0,0.0
741,0.0,0.0
742,0.0,0.0
743,0.0,0.0
744,0.0,0.0
745,0.0,0.0
746,0.0,0.0
747,0.0,0.0
748,0.0,0.0
749,0.0,0.0
750,0.0,0.0
751,0.0,0.0
752,0.0,0.0
753,0.0,0.0
754,0.0,0.0
755,0.0,0.0
756,0.0,0.0
757,0.0,0.0
758,0.0,0.0
759,0.0,0.0
760,0.0,0.0
761,0.0,0.0
762,0.0,0.0
763,0.0,0.0
764,0.0,0.0
765,0.0,0.0
766,0.0,0.0
767,0.0,0.0
768,0.0,0.0
769,0.0,0.0
770,0.0,0.0
771,0.0,0.0
772,0.0,0.0
773,0.0,0.0
774,0.0,0.0
775,0.0,0.0
776,0.0,0.0
777,0.0,0.0
778,0.0,0.0
779,0.0,0.0
780,0.0,0.0
781,0.0,0.0
782,0.0,0.0
783,0.0,0.0
784,0.0,0.0
785,0.0,0.0
786,0.0,0.0
787,0.0,0.0
788,0.0,0.0
789,0.0,0.0
790,0.0,0.0
791,0.0,0.0
792,0.0,0.0
793,0.0,0.0
794,0.0,0.0
795,0.0,0.0
796,0.0,0.0
797,0.0,0.0
798,0.0,0.0
799,0.0,0.0
800,0.0,0.0
801,0.0,0.0
802,0.0,0.0
803,0.0,0.0
804,0.0,0.0
805,0.0,0.0
806,0.0,0.0
807,0.0,0.0
808,0.0,0.0
809,0.0,0.0
810,0.0,0.0
811,0.0,0.0
812,0.0,0.0
813,0.0,0.0
814,0.0,0.0
815,0.0,0.0
816,0.0,0.0
817,0.0,0.0
818,0.0,0.0
819,0.0,0.0
820,0.0,0.0
821,0.0,0.0
822,0.0,0.0
823,0.0,0.0
824,0.0,0.0
825,0.0,0.0
826,0.0,0.0
827,0.0,0.0
828,0.0,0.0
829,0.0,0.0
830,0.0,0.0
831,0.0,0.0
832,0.0,0.0
833,0.0,0.0
834,0.0,0.0
835,0.0,0.0
836,0.0,0.0
837,0.0,0.0
838,0.0,0.0
839,0.0,0.0
840,0.0,0.0
841,0.0,0.0
842,0.0,0.0
843,0.0,0.0
844,0.0,0.0
845,0.0,0.0
846,0.0,0.0
847,0.0,0.0
848,0.0,0.0
849,0.0,0.0
850,0.0,0.0
851,0.0,0.0
852,0.0,0.0
853,0.0,0.0
854,0.0,0.0
855,0.0,0.0
856,0.0,0.0
857,0.0,0.0
858,0.0,0.0
859,0.0,0.0
860,0.0,0.0
861,0.0,0.0
862,0.0,0.0
863,0.0,0.0
864,0.0,0.0
865,0.0,0.0
866,0.0,0.0
867,0.0,0.0
868,0.0,0.0
869,0.0,0.0
870,0.0,0.0
871,0.0,0.0
872,0.0,0.0
873,0.0,0.0
874,0.0,0.0
875,0.0,0.0
876,0.0,0.0
877,0.0,0.0
878,0.0,0.0
879,0.0,0.0
880,0.0,0.0
881,0.0,0.0
882,0.0,0.0
883,0.0,0.0
884,0.0,0.0
885,0.0,0.0
886,0.0,0.0
887,0.0,0.0
888,0.0,0.0
889,0.0,0.0
890,0.0,0.0
891,0.0,0.0
892,0.0,0.0
893,0.0,0.0
894,0.0,0.0
895,0.0,0.0
896,0.0,0.0
897,0.0,0.0
898,0.0,0.0
899,0.0,0.0
900,0.0,0.0
901,0.0,0.0
902,0.0,0.0
903,0.0,0.0
904,0.0,0.0
905,0.0,0.0
906,0.0,0.0
907,0.0,0.0
908,0.0,0.0
909,0.0,0.0
910,0.0,0.0
911,0.0,0.0
912,0.0,0.0
913,0.0,0.0
914,0.0,0.0
915,0.0,0.0
916,0.0,0.0
917,0.0,0.0
918,0.0,0.0
919,0.0,0.0
920,0.0,0.0
921,0.0,0.0
922,0.0,0.0
923,0.0,0.0
924,0.0,0.0
925,0.0,0.0
926,0.0,0.0
927,0.0,0.0
928,0.0,0.0
929,0.0,0.0
930,0.0,0.0
931,0.0,0.0
932,0.0,0.0
933,0.0,0.0
934,0.0,0.0
935,0.0,0.0
936,0.0,0.0
937,0.0,0.0
938,0.0,0.0
939,0.0,0.0
940,0.0,0.0
941,0.0,0.0
942,0.0,0.0
943,0.0,0.0
944,0.0,0.0
945,0.0,0.0
946,0.0,0.0
947,0.0,0.0
948,0.0,0.0
949,0.0,0.0
950,0.0,0.0
951,0.0,0.0
952,0.0,0.0
953,0.0,0.0
954,0.0,0.0
955,0.0,0.0
956,0.0,0.0
957,0.0,0.0
958,0.0,0.0
959,0.0,0.0
960,0.0,0.0
961,0.0,0.0
962,0.0,0.0
963,0.0,0.0
964,0.0,0.0
965,0.0,0.0
966,0.0,0.0
967,0.0,0.0
968,0.0,0.0
969,0.0,0.0
970,0.0,0.0
971,0.0,0.0
972,0.0,0.0
973,0.0,0.0
974,0.0,0.0
975,0.0,0.0
976,0.0,0.0
977,0.0,0.0
978,0.0,0.0
979,0.0,0.0
980,0.0,0.0
981,0.0,0.0
982,0.0,0.0
983,0.0,0.0
984,0.0,0.0
985,0.0,0.0
986,0.0,0.0
987,0.0,0.0
988,0.0,0.0
989,0.0,0.0
990,0.0,0.0
991,0.0,0.0
992,0.0,0.0
993,0.0,0.0
994,0.0,0.0
995,0.0,0.0
996,0.0,0.0
997,0.0,0.0
998,0.0,0.0
999,0.0,0.0
1000,0.0,0.0
1001,0.0,0.0
1002,0.0,0.0
1003,0.0,0.0
1004,0.0,0.0
1005,0.0,0.0
1006,0.0,0.0
1007,0.0,0.0
1008,0.0,0.0
1009,0.0,0.0
1010,0.0,0.0
1011,0.0,0.0
1012,0.0,0.0
1013,0.0,0.0
1014,0.0,0.0
1015,0.0,0.0
1016,0.0,0.0
1017,0.0,0.0
1018,0.0,0.0
1019,0.0,0.0
1020,0.0,0.0
1021,0.0,0.0
1022,0.0,0.0
1023,0.0,0.0
1024,0.0,0.0
1025,0.0,0.0
1026,0.0,0.0
1027,0.0,0.0
1028,0.0,0.0
1029,0.0,0.0
1030,0.0,0.0
1031,0.0,0.0
1032,0.0,0.0
1033,0.0,0.0
1034,0.0,0.0
1035,0.0,0.0
1036,0.0,0.0
1037,0.0,0.0
1038,0.0,0.0
1039,0.0,0.0
1040,0.0,0.0
1041,0.0,0.0
1042,0.0,0.0
1043,0.0,0.0
1044,0.0,0.0
1045,0.0,0.0
1046,0.0,0.0
1047,0.0,0.0
1048,0.0,0.0
1049,0.0,0.0
1050,0.0,0.0
1051,0.0,0.0
1052,0.0,0.0
1053,0.0,0.0
1054,0.0,0.0
1055,0.0,0.0
1056,0.0,0.0
1057,0.0,0.0
1058,0.0,0.0
1059,0.0,0.0
1060,0.0,0.0
1061,0.0,0.0
1062,0.0,0.0
1063,0.0,0.0
1064,0.0,0.0
1065,0.0,0.0
1066,0.0,0.0
1067,0.0,0.0
1068,0.0,0.0
1069,0.0,0.0
1070,0.0,0.0
1071,0.0,0.0
1072,0.0,0.0
1073,0.0,0.0
1074,0.0,0.0
1075,0.0,0.0
1076,0.0,0.0
1077,0.0,0.0
1078,0.0,0.0
1079,0.0,0.0
1080,0.0,0.0
1081,0.0,0.0
1082,0.0,0.0
1083,0.0,0.0
1084,0.0,0.0
1085,0.0,0.0
1086,0.0,0.0
1087,0.0,0.0
1088,0.0,0.0
1089,0.0,0.0
1090,0.43466666,0.43466666
1091,0.21733333,0.21733333
1092,0.21733333,0.0
1093,0.21733333,0.0
1094,0.21733333,0.0
1095,0.21733333,0.0
1096,0.21733333,0.0
1097,0.21733333,0.0
1098,0.21733333,0.0
1099,0.21733333,0.0
1100,0.21733333,0.0
1101,0.21733333,0.0
1102,0.21733333,0.0
1103,0.21733333,0.0
1104,0.21733333,0.0
1105,0.21733333,0.0
1106,0.21733333,0.0
1107,0.21733333,0.0
1108,0.21733333,0.0
1109,0.21733333,0.0
1110,0.21733333,0.0
1111,0.21733333,0.0
1112,0.21733333,0.0
1113,0.21733333,0.0
1114,0.21733333,0.0
1115,0.21733333,0.0
1116,0.21733333,0.0
1117,0.21733333,0.0
1118,0.21733333,0.0
1119,0.21733333,0.0
1120,0.21733333,0.0
1121,0.21733333,0.0
1122,0.21733333,0.0
1123,0.21733333,0.0
1124,0.21733333,0.0
1125,0.21733333,0.0
1126,0.21733333,0.0
1127,0.21733333,0.0
1128,0.21733333,0.0
1129,0.21733333,0.0
1130,0.21733333,0.0
1131,0.21733333,-0.1
1132,0.21733333,-0.57
1133,0.21733333,-0.5226667
1134,0.21733333,-0.13066667
1135,0.21733333,0.73866665
1136,0.21733333,3.0118752
1137,0.21733333,5.518125
1138,0.21733333,8.278125
1139,0.21733333,13.8825
1140,0.21733333,21.36375
1141,0.21733333,24.869375
1142,0.21733333,32.50625
1143,0.21733333,38.46375
1144,0.21733333,50.3475
1145,0.21733333,56.62
1146,0.21733333,64.60125
1147,0.21733333,72.68313
1148,0.21733333,85.19833
1149,0.21733333,94.965
1150,0.21733333,104.39
1151,0.21733333,115.3325
1152,0.21733333,117.2375
1153,0.21733333,118.1188
1154,0.21733333,118.1188
1155,0.21733333,118.1188
1156,0.21733333,118.1188
1157,0.21733333,118.1188
1158,0.21733333,118.1188
1159,0.21733333,118.1188
1160,0.21733333,118.1188
1161,0.21733333,118.1188
1162,0.21733333,118.1188
1163,0.21733333,118.1188
1164,0.21733333,118.1188
1165,0.21733333,118.1188
1166,0.21733333,118.1188
1167,0.21733333,118.1188
1168,0.21733333,118.1188
1169,0.21733333,118.1188
1170,0.21733333,118.1188
1171,0.21733333,118.1188
1172,0.21733333,118.1188
1173,0.21733333,118.1188
1174,0.0,118.1188
1175,0.21733333,118.1188
1176,0.21733333,118.1188
1177,0.0,118.1188
1178,0.0,118.1188
1179,0.0,118.1188
1180,0.0,118.1188
1181,0.0,118.1188
1182,0.21733333,118.1188
1183,0.0,118.1188
1184,0.21733333,118.1188
1185,0.0,118.1188
1186,0.21733333,118.1188
1187,0.21733333,118.1188
1188,0.21733333,118.1188
1189,0.0,118.1188
1190,0.21733333,118.1188
1191,0.0,118.1188
1192,0.0,118.1188
1193,0.21733333,118.1188
1194,0.0,118.1188
1195,0.0,118.1188
1196,0.21733333,118.1188
1197,0.0,118.1188
1198,0.21733333,118.1188
1199,0.0,118.1188
1200,0.0,118.1188
1201,0.0,118.1188
1202,0.0,118.1188
1203,0.0,118.1188
1204,0.0,118.1188
1205,0.0,118.1188
1206,0.21733333,118.1188
1207,0.21733333,118.1188
1208,0.21733333,118.1188
1209,0.0,118.1188
1210,0.0,118.1188
1211,0.0,118.1188
1212,0.0,118.1188
1213,0.21733333,118.1188
1214,0.0,118.1188
1215,0.0,118.1188
1216,0.21733333,118.1188
1217,0.21733333,118.1188
1218,0.0,118.1188
1219,0.0,118.1188
1220,0.0,118.1188
1221,0.21733333,118.1188
1222,0.0,118.1188
1223,0.0,118.1188
1224,0.0,118.1188
1225,0.0,118.1188
1226,0.0,118.1188
1227,0.21733333,118.1188
1228,0.21733333,118.1188
1229,0.0,118.1188
1230,0.21733333,118.1188
1231,0.21733333,118.1188
1232,0.0,118.1188
1233,0.0,118.1188
1234,0.0,118.1188
1235,0.0,118.1188
1236,0.0,118.1188
1237,0.0,118.1188
1238,0.0,118.1188
1239,0.0,118.1188
1240,0.0,118.1188
1241,0.0,118.1188
